Clone,TCH,CCS,REDROT
KQ10-1602,1.4427,0.5029,4.282285669566
KQ10-1754,11.2044,0.0661,-1.53115503959074
KQ11-1388,-0.1986,0.6944,-1.30756116616164
KQ11-1584,7.9067,1.4455,0.481189821271209
KQ12-6441,-7.6782,-0.008,-0.636779545874319
KQ12-6442,-23.6661,-0.7425,-1.08396729273253
KQ12-6453,-23.7054,0.2072,-1.53115503959074
KQ12-6457,1.976,0.5683,-1.53115503959074
KQ12-6459,-4.3791,0.724,-0.860373419303424
KQ13-1006,7.3834,-1.4826,-1.53115503959074
KQ13-1010,-0.4115,0.3877,0.0340020744129976
KQ13-1015,-2.6385,0.378,1.59915918841674
KQ13-1016,27.9127,-1.0005,-1.53115503959074
KQ13-1022,-5.2334,-1.067,-1.53115503959074
KQ13-1024,13.2374,0.0041,-1.30756116616164
KQ13-1029,-11.2142,-1.1272,-0.860373419303424
KQ13-1035,14.0289,-1.0542,-1.53115503959074
KQ13-1037,12.8122,0.4649,-1.08396729273253
KQ13-1039,-2.7453,-0.1691,-0.189591799016108
KQ13-1046,21.1616,-0.912,-1.53115503959074
KQ13-1062,10.5332,0.2606,4.0586917961369
KQ13-1074,22.7784,-0.2788,1.82275306184584
KQ13-1824,18.3873,-0.4499,-1.53115503959074
KQ13-1894,12.9345,0.7894,-1.30756116616164
KQ13-1898,13.7402,0.0402,1.59915918841674
KQ13-1919,2.0302,0.3288,4.282285669566
KQ13-2306,4.6286,0.4984,-0.860373419303424
KQ13-2347,1.218,-0.4198,-0.860373419303424
KQ13-2369,16.4673,0.0679,0.704783694700314
KQ13-2410,5.1788,0.4668,-0.189591799016108
KQ13-2419,11.8691,-0.302,-1.53115503959074
KQ13-2457,5.1385,-0.2907,1.15197144155853
KQ13-2474,6.9455,0.4066,0.257595947842103
KQ13-2475,9.4698,-0.5536,-0.636779545874319
KQ13-2493,12.6514,0.0755,3.38791017584958
KQ13-2512,-2.9073,-0.0411,-1.53115503959074
KQ13-2528,19.8434,0.3817,4.95306728985332
KQ228,28.5091,0.8486,0.481189821271209
KQB12-36392,6.7644,0.0375,-0.860373419303424
KQB12-36414,-2.0972,-0.474,-1.53115503959074
KQB12-36415,13.7706,-0.4421,-1.53115503959074
KQB12-36542,-9.4106,-1.1288,-0.413185672445213
KQB12-36543,-7.0813,-0.0304,-1.08396729273253
KQB12-36549,18.7311,0.3158,-1.53115503959074
KQB12-36551,6.1894,0.726,-0.860373419303424
KQB12-36552,17.1932,0.0281,2.49353468213316
KQB12-36553,-10.957,-0.3118,-0.189591799016108
KQB12-36557,-14.5768,0.0159,-1.30756116616164
Q183,1.9839,1.102,-0.636779545874319
Q200,-0.1679,0.6968,-1.53115503959074
Q208,7.2712,0.5815,-1.08396729273253
Q240,11.9382,0.3506,-1.53115503959074
QA09-1049,18.3638,1.0082,3.16431630242047
QA09-1589,27.3218,1.1795,-1.53115503959074
QA10-1130,30.1951,0.696,3.6186774736583
QC03-6066,-23.5661,-0.4532,0.704783694700314
QC03-743,8.2089,-0.4864,-0.860373419303424
QC04-1420,-7.6228,0.5376,-1.53115503959074
QC04-6104,17.9588,-0.0919,5.84744278356974
QC04-874,11.4092,-0.9938,-1.53115503959074
QC04-893,11.3807,0.1866,0.0340020744129976
QC05-316,15.7561,0.2851,-1.32643238558239
QK10-2123,11.2525,0.2066,-0.860373419303424
QK13-1094,-4.2868,0.2191,1.37556531498763
QK13-1100,-0.3039,0.1982,-1.53115503959074
QK13-1110,-10.4879,-0.7468,5.17666116328242
QK13-1112,-3.1052,0.352,-0.860373419303424
QK13-1114,1.2902,-0.6967,-1.53115503959074
QK13-1115,6.1739,0.5203,-1.53115503959074
QK13-1121,8.9023,-0.3205,-0.860373419303424
QK13-1133,-24.3661,-1.949,2.26994080870405
QK13-1170,7.8123,0.1893,-1.53115503959074
QK13-1173,4.4056,0.3878,-1.08396729273253
QK13-1181,-14.9935,0.0786,-1.08396729273253
QK13-1185,6.9669,-0.0629,-1.53115503959074
QK13-1186,-0.5118,0.7326,-1.53115503959074
QK13-1187,-7.5366,0.8106,-1.53115503959074
QK13-1192,6.4281,-0.6084,-1.53115503959074
QK13-1194,14.4796,0.0471,-1.53115503959074
QK13-1197,-3.0663,-0.0838,-1.53115503959074
QK13-1212,3.7921,-0.1008,-1.30756116616164
QK13-1222,8.171,0.7834,-1.53115503959074
QK13-1239,3.5261,-0.0524,-1.53115503959074
QK13-1240,-3.1394,0.5153,-0.413185672445213
QK13-1252,8.7349,0.2958,1.59915918841674
QK13-1284,-4.3309,-0.221,3.70909134562366
QK13-1303,-5.744,-0.0651,4.95306728985332
QK13-1346,-17.843,0.9596,6.51822440385706
QK13-1349,-11.0888,1.4173,4.95306728985332
QK13-1360,-26.5783,-0.6383,-0.860373419303424
QK13-1361,2.3047,-0.2072,-1.08396729273253
QK13-1373,6.112,0.2074,-0.860373419303424
QK13-1378,-3.4909,0.114,1.59915918841674
QK13-1386,1.845,0.3817,4.95306728985332
QK13-1396,-13.5816,-0.1973,4.95306728985332
QK13-1410,6.2218,-0.1581,0.257595947842103
QK13-1412,5.0668,0.0971,6.07103665699885
QK13-1416,0.0819,-0.8355,0.704783694700314
QK13-1418,23.1859,-0.643,-0.189591799016108
QK13-1457,7.2755,-0.1986,-1.53115503959074
QK13-1465,0.0082,-1.6112,-1.53115503959074
QK13-1479,3.8811,0.4468,0.92837756812942
QK13-1488,4.7038,0.2821,-1.53115503959074
QK13-1494,-8.8283,-0.5432,-1.30756116616164
QK13-1503,9.8487,0.7192,-1.30756116616164
QK13-1531,-5.0612,0.8219,0.92837756812942
QK13-1539,-14.4561,0.5477,0.257595947842103
QK13-1547,-4.8894,1.4297,0.257595947842103
QK13-1552,-4.9326,1.0313,-1.53115503959074
