ENV,Clone,REDROT
KAL16-322,KQ10-1602,4.282285669566
KAL16-322,KQ10-1754,-1.53115503959074
KAL16-322,KQ11-1388,-1.30756116616164
KAL16-322,KQ11-1584,0.481189821271209
KAL16-322,KQ12-6441,-0.636779545874319
KAL16-322,KQ12-6442,-1.08396729273253
KAL16-322,KQ12-6453,-1.53115503959074
KAL16-322,KQ12-6457,-1.53115503959074
KAL16-322,KQ12-6459,-0.860373419303424
KAL16-322,KQ13-1006,-1.53115503959074
KAL16-322,KQ13-1010,0.0340020744129976
KAL16-322,KQ13-1015,1.59915918841674
KAL16-322,KQ13-1016,-1.53115503959074
KAL16-322,KQ13-1022,-1.53115503959074
KAL16-322,KQ13-1024,-1.30756116616164
KAL16-322,KQ13-1029,-0.860373419303424
KAL16-322,KQ13-1035,-1.53115503959074
KAL16-322,KQ13-1037,-1.08396729273253
KAL16-322,KQ13-1039,-0.189591799016108
KAL16-322,KQ13-1046,-1.53115503959074
KAL16-322,KQ13-1062,4.0586917961369
KAL16-322,KQ13-1074,1.82275306184584
KAL16-322,KQ13-1824,-1.53115503959074
KAL16-322,KQ13-1894,-1.30756116616164
KAL16-322,KQ13-1898,1.59915918841674
KAL16-322,KQ13-1919,4.282285669566
KAL16-322,KQ13-2306,-0.860373419303424
KAL16-322,KQ13-2347,-0.860373419303424
KAL16-322,KQ13-2369,0.704783694700314
KAL16-322,KQ13-2410,-0.189591799016108
KAL16-322,KQ13-2419,-1.53115503959074
KAL16-322,KQ13-2457,1.15197144155853
KAL16-322,KQ13-2474,0.257595947842103
KAL16-322,KQ13-2475,-0.636779545874319
KAL16-322,KQ13-2493,3.38791017584958
KAL16-322,KQ13-2512,-1.53115503959074
KAL16-322,KQ13-2528,4.95306728985332
KAL16-322,KQ228,0.481189821271209
KAL16-322,KQB12-36392,-0.860373419303424
KAL16-322,KQB12-36414,-1.53115503959074
KAL16-322,KQB12-36415,-1.53115503959074
KAL16-322,KQB12-36542,-0.413185672445213
KAL16-322,KQB12-36543,-1.08396729273253
KAL16-322,KQB12-36549,-1.53115503959074
KAL16-322,KQB12-36551,-0.860373419303424
KAL16-322,KQB12-36552,2.49353468213316
KAL16-322,KQB12-36553,-0.189591799016108
KAL16-322,KQB12-36557,-1.30756116616164
KAL16-322,Q183,-0.636779545874319
KAL16-322,Q200,-1.53115503959074
KAL16-322,Q208,-1.08396729273253
KAL16-322,Q240,-1.53115503959074
KAL16-322,QA09-1049,3.16431630242047
