Date,GeneticEntity,Rep,TotalScore
2018-03-26,KQ10-1602,1,8
2018-03-26,KQ10-1602,2,2
2018-03-26,KQ10-1602,3,9
2018-03-26,KQ10-1602,4,7
2018-04-10,KQ10-1754,1,0
2018-04-10,KQ10-1754,2,0
2018-04-10,KQ10-1754,3,0
2018-04-10,KQ10-1754,4,0
2018-03-26,KQ11-1388,1,1
2018-03-26,KQ11-1388,2,0
2018-03-26,KQ11-1388,3,0
2018-03-26,KQ11-1388,4,0
2018-04-24,KQ11-1584,1,0
2018-04-24,KQ11-1584,2,1
2018-04-24,KQ11-1584,3,0
2018-04-24,KQ11-1584,4,8
2018-04-24,KQ12-6441,1,1
2018-04-24,KQ12-6441,2,3
2018-04-24,KQ12-6441,3,0
2018-04-24,KQ12-6441,4,0
2018-04-24,KQ12-6442,1,1
2018-04-24,KQ12-6442,2,0
2018-04-24,KQ12-6442,3,1
2018-04-24,KQ12-6442,4,0
2018-02-01,KQ12-6457,1,0
2018-02-01,KQ12-6457,2,0
2018-02-01,KQ12-6457,3,0
2018-02-01,KQ12-6457,4,0
2018-02-21,KQ12-6459,1,3
2018-02-21,KQ12-6459,2,0
2018-02-21,KQ12-6459,3,0
2018-02-21,KQ12-6459,4,0
2018-04-10,KQ13-1006,1,0
2018-04-10,KQ13-1006,2,0
2018-04-10,KQ13-1006,3,0
2018-04-10,KQ13-1006,4,0
2018-03-26,KQ13-1010,1,6
2018-03-26,KQ13-1010,2,0
2018-03-26,KQ13-1010,3,0
2018-03-26,KQ13-1010,4,1
2018-04-10,KQ13-1015,1,7
2018-04-10,KQ13-1015,2,0
2018-04-10,KQ13-1015,3,4
2018-04-10,KQ13-1015,4,3
2018-04-10,KQ13-1016,1,0
2018-04-10,KQ13-1016,2,0
2018-04-10,KQ13-1016,3,0
2018-04-10,KQ13-1016,4,0
2018-04-10,KQ13-1022,1,
2018-04-10,KQ13-1022,2,0
2018-04-10,KQ13-1022,3,0
2018-04-10,KQ13-1022,4,0
2018-04-10,KQ13-1024,1,0
2018-04-10,KQ13-1024,2,1
2018-04-10,KQ13-1024,3,0
2018-04-10,KQ13-1024,4,0
