TrialCrop,Clone,Nrow,Nplot,Rep,tch,ccs
KAL16-320,QS10-8657,1,1,1,101.97,14.93
KAL16-320,QS10-9530,2,1,1,109.21,16.78
KAL16-320,QK13-1734,3,1,1,115.79,17.16
KAL16-320,QS08-724,4,1,1,102.63,12.78
KAL16-320,KQ13-2474,5,1,1,103.95,14.26
KAL16-320,QS10-7268,6,1,1,102.63,14.53
KAL16-320,KQB12-36542,7,1,1,71.71,
KAL16-320,KQ13-1047,8,1,1,115.79,14.23
KAL16-320,QS08-8460,9,1,1,105.26,16.27
KAL16-320,QK13-1757,10,1,1,126.32,15.98
KAL16-320,QK13-1612,11,1,1,100.66,15.38
KAL16-320,QC04-1420,12,1,1,111.18,16.74
KAL16-320,KQ13-1016,13,1,1,155.26,15
KAL16-320,QK13-1681,14,1,1,94.08,15.21
KAL16-320,KQB12-36543,15,1,1,112.83,14.98
KAL16-320,QS10-7953,16,1,1,152.96,14.93
KAL16-320,KQ12-6442,1,2,1,100.33,13.21
KAL16-320,QK13-2168,2,2,1,115.79,13.63
KAL16-320,KQB12-36414,3,2,1,109.87,11.87
KAL16-320,QK13-1114,4,2,1,149.34,15.43
KAL16-320,QK13-1416,5,2,1,115.79,15.83
KAL16-320,QS10-8952,6,2,1,146.71,12.84
KAL16-320,SRA10,7,2,1,178.95,15.73
KAL16-320,QS10-8720,8,2,1,134.21,12.83
KAL16-320,QS10-7660,9,2,1,140.79,15.79
KAL16-320,QS10-9560,10,2,1,98.03,16.81
KAL16-320,QK13-1346,11,2,1,94.08,17.95
KAL16-320,Q183,12,2,1,142.76,17.57
KAL16-320,QS10-8791,13,2,1,148.68,
KAL16-320,QS10-7526,14,2,1,138.49,15.82
KAL16-320,QK13-1932,15,2,1,137.5,16.26
KAL16-320,QS10-8311,16,2,1,143.42,16.05
KAL16-320,QK13-1949,1,3,1,128.29,16.66
KAL16-320,KQ13-2369,2,3,1,160.53,15.59
KAL16-320,QS10-7336,3,3,1,129.61,14.16
KAL16-320,QA09-1589,4,3,1,176.32,14.36
KAL16-320,QK13-1212,5,3,1,168.42,14.18
KAL16-320,QS10-8415,6,3,1,143.42,14.56
KAL16-320,QS10-7130,7,3,1,157.24,15.56
KAL16-320,KQ13-2512,8,3,1,109.87,15.12
KAL16-320,QK13-1986,9,3,1,107.89,16.07
KAL16-320,QK13-1284,10,3,1,142.11,14.75
KAL16-320,QK13-1539,11,3,1,89.47,13.14
KAL16-320,KQ13-1037,12,3,1,151.97,16.14
KAL16-320,QK13-1753,13,3,1,143.42,16.32
KAL16-320,QK13-1396,14,3,1,115.79,15.71
KAL16-320,Q208,15,3,1,136.51,14.48
KAL16-320,QS10-9382,16,3,1,164.47,15.56
KAL16-320,QS10-7087,1,4,1,188.82,16.06
KAL16-320,QS10-8340,2,4,1,121.05,14.84
KAL16-320,KQ228,3,4,1,191.45,15.05
KAL16-320,QS10-8551,4,4,1,153.95,13.52
KAL16-320,QK13-1173,5,4,1,104.61,16.43
KAL16-320,QS10-9174,6,4,1,68.42,11.7
KAL16-320,QS10-7653,7,4,1,165.79,13.9
KAL16-320,KQ10-1754,8,4,1,116.45,14.3
KAL16-320,QK13-1715,9,4,1,119.08,13.74
KAL16-320,KQ13-2306,10,4,1,142.11,16.83
KAL16-320,QS10-9252,11,4,1,117.76,14.96
KAL16-320,QK13-2052,12,4,1,157.89,16.08
KAL16-320,KQB12-36551,13,4,1,136.84,16.05
KAL16-320,QK13-1239,14,4,1,115.79,14.06
KAL16-320,KQ11-1584,15,4,1,155.26,14.82
KAL16-320,KQ13-2410,16,4,1,126.97,15.47
KAL16-320,QS10-8901,1,5,1,106.58,16.3
KAL16-320,QS10-7678,2,5,1,105.26,15.75
KAL16-320,KQ10-1602,3,5,1,63.16,13.34
KAL16-320,QK13-1757,4,5,1,138.16,15.65
KAL16-320,QS10-7717,5,5,1,113.16,14.3
KAL16-320,QS10-8798,6,5,1,138.16,13.61
KAL16-320,QK13-1569,7,5,1,99.34,15.27
KAL16-320,QS10-8770,8,5,1,126.97,15.3
